regime,tau,hit_rate,lo,hi
mid,0.05,0.06703146374829001,0.051072666817697926,0.08751703521698825
mid,0.1,0.12175102599179206,0.10000315505390503,0.14745356726075762
mid,0.25,0.25444596443228457,0.22421231489593285,0.2872469315976728
mid,0.5,0.47058823529411764,0.4346531806069157,0.506830795992597
mid,0.75,0.6867305061559508,0.65220474955193,0.7193039571534897
mid,0.9,0.86593707250342,0.8393151510041165,0.8887330471182263
mid,0.95,0.9411764705882353,0.9217022863091198,0.9560380646981905
quiet,0.05,0.047900262467191604,0.03826854978271951,0.05980540805866105
quiet,0.1,0.09514435695538058,0.08141449213654404,0.11091008259223943
quiet,0.25,0.24343832020997375,0.22255455448904585,0.2656122343585301
quiet,0.5,0.46916010498687666,0.4442138409753358,0.49426145077872063
quiet,0.75,0.7119422572178478,0.6886955246204519,0.7341232150272027
quiet,0.9,0.8648293963254593,0.8467434580862077,0.8810807500998481
quiet,0.95,0.926509186351706,0.9123086452747213,0.9385649794032214
volatile,0.05,0.05583250249252243,0.04324432878009472,0.07180999065206131
volatile,0.1,0.11365902293120637,0.0954725777561675,0.1347935250046865
volatile,0.25,0.2851445663010967,0.2580647948210323,0.3138638378111329
volatile,0.5,0.5353938185443669,0.504451673685494,0.5660658833518986
volatile,0.75,0.7577268195413759,0.7302599553500537,0.7832270444856089
volatile,0.9,0.8913260219341974,0.8705508668752957,0.909115080650807
volatile,0.95,0.9361914257228315,0.9193387921529603,0.9497156079557529
