token,A_sharpe,A_sortino,A_maxDD,A_hit,B_sharpe,B_sortino,B_maxDD,B_hit
GIGA,1.0574453300820623,6.288290754608034,-0.0457036794709198,0.9333333333333333,0.8156211708506302,22.04860375144098,-0.0344556225884185,0.56
Ray,0.9868343673883354,3.730526577938585,-0.09191563793186164,0.88,0.9719465183846462,2.537111541550145,-0.07558589075550148,0.62
AVA,0.9565814097999967,7.384741180981294,-0.10717073501940122,0.9,0.9635582120689854,7.9050634812094405,-0.06596582404661655,0.6666666666666666
SIGMA,0.9249601660452044,5.0166170580006675,-0.10752221125139061,0.8933333333333333,0.9209317503540905,120887939449.84958,-0.07651391180490441,0.6266666666666667
MOODENG,0.907927652923694,3.8025288866488163,-0.2084258819324456,0.88,0.8612387607572302,34.97898868889691,-0.041441859767620826,0.5733333333333334
$WIF,0.8862142981475316,9.764737857573586,-0.05037666109173433,0.8666666666666667,0.7621949560742306,,0.0,0.48
$michi,0.8765942249268126,6.874160782974139,-0.08183200640212707,0.9266666666666666,0.9102101269894993,14.17010429647156,-0.03209326369459875,0.68
BOME,0.8685722725216409,7.681233191891195,-0.05014228990940961,0.8952380952380953,0.8022268968937417,8.01680023053864,-0.03199238950190597,0.6047619047619047
POPCAT,0.8224369755151197,9.052716734221253,-0.04407031072159506,0.9,0.7595020901967776,5.57368852990375,-0.09179162291664644,0.6
MEW,0.8107932343127607,2.1215141793012973,-0.16737928848051764,0.8266666666666667,0.7994700565116587,1.624109425844934,-0.16544504765652912,0.5933333333333334
FWOG,0.8052781439552894,9.26403729712616,-0.12809904823753038,0.88,0.6961080062375459,6.373988423172463,-0.07168162365762698,0.5666666666666667
PONKE,0.793078540984974,4.714206169519742,-0.11116699627855997,0.88,0.8231617427306284,5.5528246922126705,-0.08282233122453442,0.66
Fartcoin,0.7610655714734461,4.455397697920605,-0.23380079870383275,0.8333333333333334,0.6803706947260413,2.6124129270338337,-0.1596565347542629,0.4857142857142857
UFD,0.759998955773644,10.671727645710812,-0.0416753833429091,0.9416666666666667,0.6700159321660596,46.114509598727054,-0.041787205441553565,0.5666666666666667
MLG,0.72368804653074,3.749433307066237,-0.2025339939117743,0.8666666666666667,0.7050834202532459,1.8365271011194586,-0.22060559552912962,0.5866666666666667
RETARDIO,0.7165971978411652,5.031146169164218,-0.13197671000161926,0.8380952380952381,0.6852154315136377,8.202653439250428,-0.06988143230018173,0.47619047619047616
Pnut,0.7150344460620378,1.673121737162147,-0.28122680307215764,0.8533333333333334,0.6978949678054004,0.9767543542360161,-0.20481401546083622,0.5266666666666666
ALCH,0.500498209284199,8.071113763308947,-0.1577101384004842,0.7266666666666667,0.4295509041271052,19.269802808163455,-0.04474196826282495,0.38
GOAT,0.4875003034630427,1.4612034570821881,-0.8032379694069688,0.84,0.5606958851617403,3.3579833315710577,-0.08378756213622385,0.5533333333333333
LAUNCHCOIN,0.4047764052974228,16.765405924078657,-0.4736420295458523,0.8888888888888888,0.3541407510524819,,0.0,0.3055555555555556
ZEREBRO,0.35687174680586375,6.261211651717756,-0.15595891775480342,0.7733333333333333,0.3555200892992134,147899473390.13123,-0.11887060713469966,0.38
