tau,pinball_loss,model
0.05,0.014063846379096544,QRF
0.1,0.022443241245513234,QRF
0.25,0.041586148075731875,QRF
0.5,0.06103218946644002,QRF
0.75,0.07161778025211014,QRF
0.9,0.06596899598470203,QRF
0.95,0.04782709046723128,QRF
0.05,0.030154977288790456,LQR
0.1,0.040940313185404975,LQR
0.25,0.05523793834158852,LQR
0.5,0.06302333885259773,LQR
0.75,0.05538976210051754,LQR
0.9,0.03707415855788845,LQR
0.95,0.02398777644487246,LQR
0.05,0.035135358353836785,LightGBM
0.1,0.031083468891257723,LightGBM
0.25,0.04556154576905335,LightGBM
0.5,0.06580687430225063,LightGBM
0.75,0.07373602693473652,LightGBM
0.9,0.0662231177980159,LightGBM
0.95,0.05956896180124957,LightGBM
